quarter_id,optimized_rank_2025,optimized_score_2025,crash_density_component_30pct,trip_risk_component_25pct,severity_component_20pct,infrastructure_gap_component_15pct,volume_gate_component_10pct,es_crashes,crashes_per_km2,crashes_per_10m_trips,severity_pct,bp_share_pct
5,1,0.662,1.000,0.004,0.560,0.996,1.000,72,23.6,7.8,15.3,14.1
15,2,0.595,0.309,0.885,0.550,0.969,0.257,20,7.5,32.1,15.0,17.7
8,3,0.575,0.672,0.565,0.196,0.775,0.771,56,16.0,23.3,5.4,43.9
9,4,0.530,0.552,0.527,0.293,0.706,0.686,50,13.2,22.3,8.0,53.4
13,5,0.505,0.870,0.018,0.210,1.000,0.471,35,20.6,8.2,5.7,13.6
10,6,0.505,0.200,1.000,0.367,0.637,0.257,20,5.0,35.3,10.0,62.7
6,7,0.484,0.808,0.044,0.275,0.811,0.543,40,19.1,8.9,7.5,39.2
7,8,0.409,0.371,0.328,0.344,0.694,0.429,32,9.0,16.8,9.4,55.0
14,9,0.361,0.400,0.087,0.306,0.844,0.314,24,9.6,10.1,8.3,34.6
4,10,0.337,0.340,0.392,0.000,0.821,0.143,12,8.2,18.5,0.0,37.8
3,11,0.330,0.426,0.000,0.204,0.928,0.229,18,10.2,7.7,5.6,23.3
1,12,0.311,0.053,0.016,1.000,0.522,0.129,11,1.5,8.1,27.3,78.3
12,13,0.078,0.037,0.000,0.000,0.406,0.057,6,1.2,,,93.9
2,14,0.052,0.016,0.000,0.000,0.315,0.000,2,0.7,,,106.3
11,15,0.000,0.000,0.000,0.000,0.000,0.000,2,0.3,,,148.9
