variable,Street km,Daily Trips,Daily Trips/km2,Street km/km2,ES Crashes,Crashes/km2,Crashes/10km Street,Crashes/10km BP,Crashes/10M Trips,Severity %,BP km,BP km/km2,BP Share %
Street km,1.000,0.982,0.968,0.846,0.672,0.829,0.200,0.626,-0.827,-0.096,-0.107,0.250,-0.736
Daily Trips,0.982,1.000,0.961,0.811,0.731,0.854,0.293,0.657,-0.755,-0.005,-0.086,0.246,-0.711
Daily Trips/km2,0.968,0.961,1.000,0.918,0.728,0.904,0.271,0.692,-0.736,-0.018,-0.275,0.243,-0.843
Street km/km2,0.846,0.811,0.918,1.000,0.518,0.789,0.086,0.477,-0.791,-0.041,-0.439,0.379,-0.836
ES Crashes,0.672,0.731,0.728,0.518,1.000,0.916,0.812,0.810,0.014,0.112,-0.093,-0.145,-0.631
Crashes/km2,0.829,0.854,0.904,0.789,0.916,1.000,0.625,0.820,-0.382,-0.018,-0.264,0.082,-0.796
Crashes/10km Street,0.200,0.293,0.271,0.086,0.812,0.625,1.000,0.508,0.600,0.187,0.075,-0.204,-0.221
Crashes/10km BP,0.626,0.657,0.692,0.477,0.810,0.820,0.508,1.000,-0.045,0.146,-0.385,-0.288,-0.815
Crashes/10M Trips,-0.827,-0.755,-0.736,-0.791,0.014,-0.382,0.600,-0.045,1.000,0.310,0.164,-0.364,0.473
Severity %,-0.096,-0.005,-0.018,-0.041,0.112,-0.018,0.187,0.146,0.310,1.000,-0.087,0.123,-0.118
BP km,-0.107,-0.086,-0.275,-0.439,-0.093,-0.264,0.075,-0.385,0.164,-0.087,1.000,0.318,0.679
BP km/km2,0.250,0.246,0.243,0.379,-0.145,0.082,-0.204,-0.288,-0.364,0.123,0.318,1.000,0.107
BP Share %,-0.736,-0.711,-0.843,-0.836,-0.631,-0.796,-0.221,-0.815,0.473,-0.118,0.679,0.107,1.000
